Managing Editorial Assistant,37000,male,4
Reporter,37000,female,3
Copy Editor,37000,female,3
Assistant editor,37000,female,3
News Editor,37000,male,3
Reporter,37000,female,2
Digital News Editor,37000,male,1
Digital producer assignment editor,37000,female,1
Assistant Copy Editor,37000,female,1
Production assistant,37000,female,1
Editor,37200,male,3
News reporter,37440,male,8
Columnist,37500,female,10
Reporter,37500,female,7
Reporter,37500,female,3
Assistant Editor,37500,female,2
Staff Photographer Videographer,38000,male,21
Reporter,38000,male,5
Advertising Coordinator,38000,female,5
Digital Content Coordinator,38000,female,4
Reporter,38000,female,3
Assistant Editor,38000,female,3
Producer,38000,female,2
Page designer,38000,female,2
Enterprise reporter,38250,female,2
editor,38500,male,40
Reporter,38500,female,7
Reporter,38500,female,4.5
Associate editor,38500,female,3
Reporter,38500,female,2
Reporter Producer,38500,female,1.5
Assistant Editor,38532,female,3
Retired,38578,male,24
Editor,39000,male,4.5
Science Writer,39000,female,4.5
Sports Reporter,39000,male,4
Reporter,39000,male,4
Reporter,39000,female,4
Web Manager,39000,female,3
Reporter,39000,female,3
Assistant Editor,39000,female,2.5
Reporting Fellow,39000,female,1
Reporter,39500,male,24
Staff writer,39500,female,20
Reporter,39500,female,9
Reporter,39500,female,7
Staff Writer,40000,male,19
Associate news producer,40000,female,17
Writer Editor,40000,male,16
News Director,40000,male,12
Business Reporter,40000,female,9
Staff Writer,40000,female,9
Multi-media journalist,40000,female,6
freelance writer and content creator,40000,female,6
Senior community editor,40000,female,6
Afternoon Show Host,40000,male,5
Staff Writer,40000,female,5
Assistant Edior,40000,female,5
Fellow,40000,female,5
Digital Program Director,40000,female,5
Editorial Assistant,40000,female,5
Associate Editor,40000,male,5
Staff writer,40000,female,5
Staff Photographer,40000,female,3.5
Anchor,40000,male,3
Web Editor,40000,female,3
Publishing Assistant and Digital Content Coordinator,40000,female,3
Reporter,40000,male,3
Fellow,40000,female,3
Producer,40000,female,2.5
Reporter,40000,female,2
Assistant Editor,40000,female,2
Assignment Editor,40000,female,2
Print planning producer,40000,female,2
assistant editor,40000,female,2
Breaking news reporter,40000,female,1
Social Media Producer,40000,female,1
GA Reporter,40000,female,1
Assistant Editor,40000,female,0
Editorial Assistant Executive Assistant to the Editor-in-Chief,40000,female,0
Staff Writer,40560,male,6.5
Editorial Assistant,40800,female,7
Reporter,40800,male,6
Reporter,40800,male,5
Reporter,40800,male,3
City hall and county courts reporter,40820,male,6
Associate Digital Content Producer,41000,female,20
Reporter,41000,female,18
Data reporter,41000,female,10
Data Journalist,41000,female,6
Reporter,41000,female,6
Reporter,41000,female,5
Editor,41000,female,4
Digital Producer,41000,female,4
Coordinator,41000,female,3
Reporter,41000,female,3
Staff Writer,41000,male,3
Editorial assistant,41000,female,3
Assistant Editor,41000,male,3
Reporter,41000,male,3
Inclusion Reporter,41000,female,1
Digital team,41000,female,1
Reporter,41250,male,12
Reporter,41500,female,8
Marketing Associate,41500,male,7
DIgital Producer,41600,female,7.5
Reporter,41600,female,7.5
Reporter,42000,male,15
Reporter,42000,male,14
Business Reporter,42000,male,7
Social media producer,42000,female,6
Copy Editor Page Designer,42000,female,5
Writer and editor,42000,female,5
Digital Editor,42000,male,5
Digital Producer,42000,female,5
Development Director,42000,female,4.5
Regional editor,42000,male,4.5
Print Production Specialist,42000,female,4
Creative Coordinator,42000,female,4
Reporter,42000,female,4
FACT-CHECKER,42000,female,3.5
Production Coordinator,42000,female,3.5
Executive editor,42000,female,3
Reporter,42000,female,3
Reporter,42000,female,3
Reporter,42000,male,3
Assistant Editor,42000,female,3
reporter,42000,female,3
Associate Editor,42000,female,3
Assistant Editor,42000,female,3
Associate Editor,42000,female,3
Associate Editor,42000,female,3
Associate Editor,42000,female,3
Digital Producer,42000,female,2
Engagement manager,42000,female,2
Line Producer,42000,male,2
Sawyer,42000,male,2
Afternoon Newscaster   General Assignment Reporter,42000,male,2
Digital News Producer,42000,female,1
Features reporter,42000,female,1
Reporter -  the real time team ,42000,female,1
Copy Editor,42000,male,1
Digital editor,42420,male,8
Senior Writer,42500,male,7
Local Editor,43000,female,17
Producer,43000,female,10
Editor,43000,female,9
Engagement editor & reporter,43000,female,7
Assistant Editor,43000,female,3.5
Reviews Editor,43000,male,3
Staff Writer,43000,female,3
Reporter,43000,female,3
Online News Editor,43000,female,2.5
Assistant Editor,43000,female,2
Reporter,43000,female,2
Reporter,43000,male,2
Social Media Coordinator,43260,female,5
Social Media Specialist,43493,female,4.5
Promotions Producer,43500,female,3
GA Reporter,43520,female,10
social media editor,44000,male,17
Reporter,44000,female,9
Reporter,44000,female,8
Reporter,44000,female,8
Reporter,44000,female,7
Reporter,44000,female,6
Associate Editor,44000,female,5
Photographer Videographer,44450,male,10
Producer,45000,female,7
Temporary Producer - Social media desk,45000,male,7
Senior Producer,45000,female,6
Editor,45000,male,5
Reporter,45000,female,5
Digital editor,45000,female,5
Reporter,45000,female,5
News Producer,45000,female,5
Reporter,45000,female,5
Creative Content Coordinator,45000,female,5
editorial assistant,45000,female,5
Associate Editor,45000,female,4
Reporter,45000,female,4
Reporter,45000,female,4
Reporter,45000,female,4
Literary Assistant,45000,female,4
Reporter,45000,female,4
Assistant Managing Editor,45000,female,4
Reporter,45000,female,4
Reporter,45000,male,3
Digital Writer,45000,female,3
Reporter,45000,female,3
Digital Producer,45000,female,3
Social Media Coordinator,45000,female,3
reporter editor,45000,female,3
Reporter,45000,female,3
Digital Strategist,45000,female,3
Staff Photographer,45000,female,2
Reporter,45000,female,2
Staff Writer,45000,female,2
Reporter,45000,female,2
Associate editor,45000,male,2
Reporter,45000,male,2
Reporter,45000,male,2
Staff writer,45000,female,2
Associate Producer,45000,female,1
Engagement Editor,45000,female,1
Editorial Executive Assistant,45000,female,1
Associate Editor,45000,female,1
Producer & Host ,45000,female,1
Assistant Editor,45000,male,1
Engagement editor,45000,female,0
Editor,45200,female,2
Senior Staff Writer,45450,male,5
Editor,45900,female,2
Reporter,46000,female,12
Content Editor,46000,female,10
Reporter,46000,female,6
Breaking News Reporter,46000,female,5
Multimedia Reporter,46000,female,5
Associate Video Producer,46000,male,4.5
Editorial Associate,46000,female,4
Associate Editor,46000,male,3.5
Staff Photographer,46500,male,25
web producer,46800,female,4
Reporter,47000,female,12
Senior writer,47000,female,12
Photographer,47000,male,8
Reporter,47000,male,7
Anchor Reporter,47000,female,6
Reporter,47000,female,3
